"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"1","1300","70053","68400","HomeImp","Other","7","0","2","121.83333333333333","0","14",""
"0","1700","97800","112000","HomeImp","Office","3","0","0","93.33333333333333","0","14",""
"1","1700","30548","40320","HomeImp","Other","9","0","0","101.46600191058894","1","8","37.11361355844588"
"1","2000","22608","","","","18","","","","","",""
"1","2000","45000","55000","HomeImp","Other","3","0","0","86.06666666666666","2","25",""
"1","2100","71000","83850","HomeImp","Other","8","0","1","123","0","16",""
"1","2200","23030","","","","19","","","","","","3.7113122994598524"
"1","2300","28192","40150","HomeImp","Other","4.5","0","0","54.6","1","16",""
"1","2300","37626","46200","HomeImp","Other","3","0","1","122.26666666666667","1","14",""
"1","2400","34863","47471","HomeImp","Mgr","12","0","0","70.49108003183711","1","21","38.263600730930264"
"0","2400","98449","117195","HomeImp","Office","4","0","0","93.8117748545694","0","13","29.681827045195657"
"0","2500","71408","78600","HomeImp","ProfExe","8","0","0","255.73333333333332","0","12",""
"1","2800","4000","60850","HomeImp","Other","16","4","0","112.63333333333334","2","9",""
"1","2900","78600","113000","DebtCon","ProfExe","6","1","0","165.33333333333334","2","26",""
"0","3000","104570","121729","HomeImp","Office","2","0","0","85.88437189499396","0","14","32.05978326718313"
"1","3000","","33000","HomeImp","Other","1","0","1","23.3","1","2",""
"1","3000","20000","29750","DebtCon","Other","2","0","0","187.06666666666666","0","12",""
"1","3000","","14500","HomeImp","Other","3","0","0","9.3","14","2",""
"0","3100","","70400","","","","","","","","",""
"1","3200","23159","","HomeImp","Mgr","20","","2","117.8057478378437","0","9","0.5244992154298812"
"1","3600","61584","61800","HomeImp","ProfExe","10","","","","","",""
"1","3600","41900","52490","HomeImp","Mgr","3","0","0","72.03333333333333","2","4",""
"0","3600","61327","76484","HomeImp","Mgr","9","","2","202.51077515241013","0","25","41.516389699325146"
"0","3600","100693","114743","HomeImp","Office","6","0","0","88.47045213477163","0","14","29.393543382190888"
"1","3800","19135","97692","HomeImp","Mgr","1.6","1","6","252.63333333333333","1","25",""
"1","3900","29896","45960","HomeImp","Other","11","0","0","146.12324219415146","0","14","24.478881191093883"
"1","4000","17000","52012","HomeImp","ProfExe","22","3","1","85.33333333333333","1","9",""
"1","4000","41700","76725","HomeImp","Other","0.5","0","3","136.13333333333333","0","15",""
"1","4000","58000","69440","HomeImp","Other","3.5","0","1","168.66666666666666","0","18",""
"0","4000","66000","79050","HomeImp","Other","1.8","2","0","279","1","6",""
"1","4000","74000","93000","HomeImp","ProfExe","2.6","1","3","186.63333333333333","","9",""
"1","4100","58500","65000","HomeImp","Other","8","1","2","63.93333333333333","2","15",""
"0","4100","57992","63797","DebtCon","ProfExe","7","0","4","165.50503695302035","1","31","22.27817436972548"
"0","4200","56544","59218","HomeImp","Office","19","0","0","211.0025991200236","1","20","19.027704424749924"
