BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1100,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0,94.366666667,1.0,9.0,33.779915348721225
1,1300,70053.0,68400.0,HomeImp,Other,7.0,0.0,2.0,121.83333333,0.0,14.0,33.779915348721225
1,1500,13500.0,16700.0,HomeImp,Other,4.0,0.0,0.0,149.46666667,1.0,10.0,33.779915348721225
1,1500,73760.81719955898,101776.04874145007,DebtCon,Other,8.922268135904508,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
0,1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.333333333,0.0,14.0,33.779915348721225
1,1700,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558000004
1,1800,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,33.779915348721225
1,1800,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0,88.766029879,0.0,8.0,36.884894093
1,2000,32700.0,46740.0,HomeImp,Other,3.0,0.0,2.0,216.93333333,1.0,12.0,33.779915348721225
1,2000,73760.81719955898,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,33.779915348721225
1,2000,22608.0,101776.04874145007,DebtCon,Other,18.0,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
1,2000,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,122.53333333,1.0,9.0,33.779915348721225
1,2000,45000.0,55000.0,HomeImp,Other,3.0,0.0,0.0,86.066666667,2.0,25.0,33.779915348721225
0,2000,64536.0,87400.0,DebtCon,Mgr,2.5,0.0,0.0,147.13333333,0.0,24.0,33.779915348721225
1,2100,71000.0,83850.0,HomeImp,Other,8.0,0.0,1.0,123.0,0.0,16.0,33.779915348721225
1,2200,24280.0,34687.0,HomeImp,Other,8.922268135904508,0.0,1.0,300.86666667,0.0,8.0,33.779915348721225
1,2200,90957.0,102600.0,HomeImp,Mgr,7.0,2.0,6.0,122.9,1.0,22.0,33.779915348721225
1,2200,23030.0,101776.04874145007,DebtCon,Other,19.0,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,3.7113122995
1,2300,28192.0,40150.0,HomeImp,Other,4.5,0.0,0.0,54.6,1.0,16.0,33.779915348721225
0,2300,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,90.992533467,0.0,13.0,31.588503178000003
1,2300,37626.0,46200.0,HomeImp,Other,3.0,0.0,1.0,122.26666667,1.0,14.0,33.779915348721225
1,2400,50000.0,73395.0,HomeImp,ProfExe,5.0,1.0,0.0,179.76627518656667,1.0,0.0,33.779915348721225
1,2400,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,33.779915348721225
1,2400,18000.0,101776.04874145007,HomeImp,Mgr,22.0,0.2545696877380046,2.0,121.73333333,0.0,10.0,33.779915348721225
1,2400,73760.81719955898,17180.0,HomeImp,Other,8.922268135904508,0.0,0.0,14.566666667,3.0,4.0,33.779915348721225
1,2400,34863.0,47471.0,HomeImp,Mgr,12.0,0.0,0.0,70.491080032,1.0,21.0,38.263600731
0,2400,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0,93.811774855,0.0,13.0,29.681827045
1,2500,15000.0,20200.0,HomeImp,Other,18.0,0.0,0.0,136.06666667,1.0,19.0,33.779915348721225
1,2500,25116.0,36350.0,HomeImp,Other,10.0,1.0,2.0,276.96666667,0.0,9.0,33.779915348721225
0,2500,7229.0,44516.0,HomeImp,Self,8.922268135904508,0.0,0.0,208.0,0.0,12.0,33.779915348721225
0,2500,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0,255.73333333,0.0,12.0,33.779915348721225
1,2800,50795.0,63100.0,HomeImp,Self,26.0,2.0,15.0,145.63333333,3.0,45.0,33.779915348721225
1,2800,4000.0,60850.0,HomeImp,Other,16.0,4.0,0.0,112.63333333,2.0,9.0,33.779915348721225
1,2900,78600.0,113000.0,DebtCon,ProfExe,6.0,1.0,0.0,165.33333333,2.0,26.0,33.779915348721225
0,2900,103949.0,112505.0,HomeImp,Office,1.0,0.0,0.0,96.10232967,0.0,13.0,30.051136286
